x,y,event,description,ordinalNum
64.0,10.0,Shot,Vincent Trocheck Wrist Shot saved by Robin Lehner,2nd
65.0,-12.0,Missed Shot,Brady Skjei Over Net Robin Lehner,2nd
63.0,-23.0,Shot,Brady Skjei Wrist Shot saved by Robin Lehner,2nd
73.0,35.0,Shot,Tony DeAngelo Snap Shot saved by Robin Lehner,2nd
33.0,-26.0,Missed Shot,Andrei Svechnikov Wide of Net Robin Lehner,2nd
58.0,-14.0,Shot,Sebastian Aho Snap Shot saved by Robin Lehner,2nd
43.0,-20.0,Shot,Nino Niederreiter Wrist Shot saved by Robin Lehner,2nd
65.0,29.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Robin Lehner,2nd
84.0,1.0,Shot,Steven Lorentz Wrist Shot saved by Robin Lehner,2nd
82.0,22.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Robin Lehner,2nd
33.0,38.0,Shot,Jaccob Slavin Wrist Shot saved by Robin Lehner,2nd
70.0,5.0,Shot,Jordan Staal Backhand saved by Robin Lehner,2nd
48.0,-1.0,Shot,Steven Lorentz Snap Shot saved by Robin Lehner,2nd
29.0,-26.0,Shot,Brady Skjei Slap Shot saved by Robin Lehner,2nd
32.0,35.0,Shot,Ethan Bear Wrist Shot saved by Robin Lehner,2nd
76.0,-17.0,Missed Shot,Andrei Svechnikov Wide of Net Robin Lehner,3rd
61.0,11.0,Goal,Seth Jarvis (2) Wrist Shot, assists: Ethan Bear (5), Sebastian Aho (9),3rd
63.0,-14.0,Missed Shot,Martin Necas Wide of Net Robin Lehner,3rd
86.0,-15.0,Shot,Andrei Svechnikov Wrist Shot saved by Robin Lehner,3rd
31.0,-27.0,Missed Shot,Tony DeAngelo Wide of Net Robin Lehner,3rd
82.0,12.0,Shot,Sebastian Aho Tip-In saved by Robin Lehner,3rd
37.0,-24.0,Shot,Tony DeAngelo Wrist Shot saved by Robin Lehner,3rd
30.0,-34.0,Shot,Ethan Bear Slap Shot saved by Robin Lehner,3rd
65.0,14.0,Shot,Jaccob Slavin Wrist Shot saved by Robin Lehner,3rd
49.0,-2.0,Shot,Teuvo Teravainen Wrist Shot saved by Robin Lehner,3rd
77.0,12.0,Goal,Vincent Trocheck (4) Wrist Shot, assists: Teuvo Teravainen (9), Martin Necas (5),3rd
10.0,23.0,Missed Shot,Teuvo Teravainen Wide of Net,3rd
48.0,37.0,Missed Shot,Brady Skjei Wide of Net,3rd
